imdbID,original title,year,top 250 rank,rating,runtime,box office,metascore,genres
0111161,The Shawshank Redemption,1994,1,9.3,['142'],"{'Budget': '$25,000,000 (estimated)', 'Opening Weekend United States': '$727,326, 20 Nov 1994', 'Cumulative Worldwide Gross': '$58,500,000'}",81,['Drama']
0068646,The Godfather,1972,2,9.2,['175'],"{'Budget': '$6,000,000 (estimated)', 'Opening Weekend United States': '$223,758, 04 Apr 1997', 'Cumulative Worldwide Gross': '$245,066,411'}",100,"['Crime', 'Drama']"
0468569,The Dark Knight,2008,3,9.0,['152'],"{'Budget': '$185,000,000 (estimated)', 'Opening Weekend United States': '$158,411,483, 20 Jul 2008', 'Cumulative Worldwide Gross': '$1,004,558,444, 19 Jul 2012'}",84,"['Action', 'Crime', 'Drama', 'Thriller']"
0071562,The Godfather Part II,1974,4,9.0,['202'],"{'Budget': '$13,000,000 (estimated)'}",90,"['Crime', 'Drama']"
0050083,12 Angry Men,1957,5,9.0,['96'],"{'Budget': '$350,000 (estimated)'}",96,"['Crime', 'Drama']"
0108052,Schindler's List,1993,6,9.0,['195'],"{'Budget': '$22,000,000 (estimated)', 'Opening Weekend United States': '$566,760, 09 Dec 2018', 'Cumulative Worldwide Gross': '$221,000,000'}",94,"['Biography', 'Drama', 'History']"
0167260,The Lord of the Rings: The Return of the King,2003,7,9.0,['201'],"{'Budget': '$94,000,000 (estimated)', 'Opening Weekend New Zealand': 'NZD2,609,992, 21 Dec 2003', 'Cumulative Worldwide Gross': '$1,119,929,521, 25 Nov 2011'}",94,"['Action', 'Adventure', 'Drama', 'Fantasy']"
0110912,Pulp Fiction,1994,8,8.9,['154'],"{'Budget': '$8,000,000 (estimated)', 'Opening Weekend United States': '$9,311,882, 14 Oct 1994', 'Cumulative Worldwide Gross': '$213,928,762'}",94,"['Crime', 'Drama']"
0120737,The Lord of the Rings: The Fellowship of the Ring,2001,9,8.8,['178'],"{'Budget': '$93,000,000 (estimated)', 'Opening Weekend New Zealand': 'NZD2,945,822, 26 Dec 2001', 'Cumulative Worldwide Gross': '$871,530,324, 25 Nov 2011'}",92,"['Action', 'Adventure', 'Drama', 'Fantasy']"
0060196,"Il buono, il brutto, il cattivo",1966,10,8.8,['161'],"{'Budget': '$1,200,000 (estimated)'}",90,"['Adventure', 'Western']"
0109830,Forrest Gump,1994,11,8.8,['142'],"{'Budget': '$55,000,000 (estimated)', 'Opening Weekend United States': '$24,450,602, 10 Jul 1994', 'Cumulative Worldwide Gross': '$677,945,399'}",82,"['Drama', 'Romance']"
0137523,Fight Club,1999,12,8.8,['139'],"{'Budget': '$63,000,000 (estimated)', 'Cumulative Worldwide Gross': '$71,000,000'}",66,['Drama']
0167261,The Lord of the Rings: The Two Towers,2002,13,8.8,['179'],"{'Budget': '$94,000,000 (estimated)', 'Opening Weekend New Zealand': 'NZD3,004,178, 25 Dec 2002', 'Cumulative Worldwide Gross': '$926,047,111, 25 Nov 2011'}",87,"['Action', 'Adventure', 'Drama', 'Fantasy']"
1375666,Inception,2010,14,8.8,['148'],"{'Budget': '$160,000,000 (estimated)', 'Opening Weekend United States': '$62,785,337, 18 Jul 2010', 'Cumulative Worldwide Gross': '$825,532,764, 06 Jan 2011'}",74,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
0080684,The Empire Strikes Back,1980,15,8.7,['124'],"{'Budget': '$33,000,000 (estimated)', 'Opening Weekend United States': '$10,840,307, 30 Jun 2012', 'Cumulative Worldwide Gross': '$247,916,602'}",82,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
0133093,The Matrix,1999,16,8.7,['136'],"{'Budget': '$63,000,000 (estimated)', 'Opening Weekend United States': '$27,788,331, 04 Apr 1999', 'Cumulative Worldwide Gross': '$463,517,383'}",73,"['Action', 'Sci-Fi']"
0099685,Goodfellas,1990,17,8.7,['145'],"{'Budget': '$25,000,000 (estimated)', 'Opening Weekend United States': '$6,368,901, 21 Sep 1990'}",90,"['Biography', 'Crime', 'Drama']"
0073486,One Flew Over the Cuckoo's Nest,1975,18,8.7,['133'],"{'Budget': '$4,400,000 (estimated)', 'Opening Weekend United States': '$99,761, 23 Nov 1975', 'Cumulative Worldwide Gross': '$11,930,050'}",84,['Drama']
0114369,Se7en,1995,19,8.6,['127'],"{'Budget': '$33,000,000 (estimated)', 'Opening Weekend United States': '$13,949,807, 24 Sep 1995', 'Cumulative Worldwide Gross': '$327,311,859'}",65,"['Crime', 'Drama', 'Mystery', 'Thriller']"
0047478,Shichinin no samurai,1954,20,8.6,['207'],"{'Budget': '$2,000,000 (estimated)'}",98,"['Action', 'Drama']"
0038650,It's a Wonderful Life,1946,21,8.6,['130'],"{'Budget': '$3,180,000 (estimated)'}",89,"['Drama', 'Family', 'Fantasy', 'Romance']"
