imdbID,countries
0111161,['United States']
0068646,['United States']
0468569,"['United States', 'United Kingdom']"
0071562,['United States']
0050083,['United States']
0108052,['United States']
0167260,"['New Zealand', 'United States']"
0110912,['United States']
0120737,"['New Zealand', 'United States']"
0060196,"['Italy', 'Spain', 'West Germany']"
0109830,['United States']
0137523,"['Germany', 'United States']"
0167261,"['New Zealand', 'United States']"
1375666,"['United States', 'United Kingdom']"
0080684,['United States']
0133093,"['United States', 'Australia']"
0099685,['United States']
0073486,['United States']
0114369,['United States']
0047478,['Japan']
0038650,['United States']
0102926,['United States']
0317248,"['Brazil', 'France', 'Germany']"
0120815,['United States']
0118799,['Italy']
0816692,"['United States', 'United Kingdom', 'Canada']"
0120689,['United States']
0076759,['United States']
0103064,['United States']
0088763,['United States']
0245429,['Japan']
0054215,['United States']
0253474,"['France', 'Poland', 'Germany', 'United Kingdom']"
6751668,['South Korea']
0110413,"['France', 'United States']"
0110357,['United States']
0172495,"['United States', 'United Kingdom', 'Malta', 'Morocco']"
0120586,['United States']
0407887,"['United States', 'Hong Kong']"
0114814,"['United States', 'Germany']"
0482571,"['United Kingdom', 'United States']"
2582802,['United States']
0034583,['United States']
0056058,['Japan']
0095327,['Japan']
1675434,['France']
0027977,['United States']
0064116,"['Italy', 'United States']"
0047396,['United States']
0095765,"['Italy', 'France']"
0078748,"['United Kingdom', 'United States']"
0021749,['United States']
0078788,['United States']
0209144,['United States']
0082971,['United States']
1853728,['United States']
0910970,['United States']
0405094,"['Germany', 'France']"
0043014,['United States']
0050825,['United States']
0081505,"['United Kingdom', 'United States']"
0032553,['United States']
4154756,['United States']
0051201,['United States']
0090605,"['United Kingdom', 'United States']"
4633694,['United States']
0169547,['United States']
0057012,"['United Kingdom', 'United States']"
1345836,"['United States', 'United Kingdom']"
0364569,['South Korea']
0086879,"['United States', 'France', 'Italy']"
0361748,"['Germany', 'United States']"
7286456,"['United States', 'Canada']"
2380307,['United States']
0114709,['United States']
0112573,['United States']
0082096,"['West Germany', 'Italy', 'France', 'United Kingdom']"
4154796,['United States']
0119698,['Japan']
0087843,"['Italy', 'United States']"
0119217,['United States']
5311514,['Japan']
1745960,['United States']
0180093,['United States']
1187043,['India']
0045152,['United States']
0435761,['United States']
0057565,['Japan']
0086190,['United States']
8267604,"['Lebanon', 'France', 'Cyprus', 'Qatar', 'United Kingdom']"
0062622,"['United Kingdom', 'United States']"
0338013,['United States']
0105236,['United States']
2106476,"['Denmark', 'Sweden']"
0091251,['Soviet Union']
0033467,['United States']
0022100,['Germany']
0056172,['United Kingdom']
0053125,['United States']
0052357,['United States']
0211915,"['France', 'Germany']"
0066921,"['United Kingdom', 'United States']"
0053604,['United States']
0044741,['Japan']
0036775,['United States']
0093058,"['United Kingdom', 'United States']"
8503618,['United States']
0086250,['United States']
0056592,['United States']
0070735,['United States']
1255953,"['Canada', 'France']"
1049413,['United States']
0113277,['United States']
0075314,['United States']
1832382,"['Iran', 'France', 'Australia']"
0017136,['Germany']
0119488,['United States']
0095016,['United States']
0208092,"['United Kingdom', 'United States']"
0040522,['Italy']
0097576,['United States']
0986264,['India']
8579674,"['United Kingdom', 'United States', 'India', 'Spain']"
0363163,"['Germany', 'Austria', 'Italy']"
0059578,"['Italy', 'Spain', 'West Germany']"
5074352,"['India', 'United States']"
0372784,"['United States', 'United Kingdom']"
0012349,['United States']
0053291,['United States']
10272386,"['United Kingdom', 'France', 'United States']"
0042192,['United States']
6966692,"['United States', 'China']"
0993846,['United States']
0055031,['United States']
0089881,"['Japan', 'France']"
0112641,"['United States', 'France']"
0457430,"['Mexico', 'Spain']"
0105695,['United States']
0469494,['United States']
0120382,['United States']
0167404,['United States']
0268978,['United States']
1130884,['United States']
0055630,['Japan']
0071853,['United Kingdom']
10872600,['United States']
0040897,['United States']
0107290,['United States']
0057115,['United States']
0042876,['Japan']
0266697,['United States']
0477348,['United States']
0266543,['United States']
0084787,"['United States', 'Canada']"
0080678,"['United States', 'United Kingdom']"
0071315,['United States']
0081398,['United States']
0031381,['United States']
0434409,"['United States', 'United Kingdom', 'Germany']"
2096673,['United States']
0120735,['United Kingdom']
0046912,['United States']
1305806,"['Argentina', 'Spain']"
0347149,['Japan']
0050212,"['United Kingdom', 'United States']"
5027774,"['United Kingdom', 'United States']"
0117951,['United Kingdom']
1291584,['United States']
0116282,"['United States', 'United Kingdom']"
1205489,"['Germany', 'United States']"
1392214,['United States']
0096283,['Japan']
0264464,"['United States', 'Canada']"
0405159,['United States']
0118849,['Iran']
0083658,['United States']
0015864,['United States']
0047296,['United States']
0112471,"['United States', 'Austria']"
2024544,"['United States', 'United Kingdom']"
1201607,"['United Kingdom', 'United States']"
0052618,['United States']
0050986,['Sweden']
2267998,['United States']
0041959,['United Kingdom']
0017925,['United States']
2278388,"['United States', 'Germany']"
0077416,"['United States', 'United Kingdom']"
0107207,"['Ireland', 'United Kingdom']"
4729430,"['Spain', 'United Kingdom', 'United States']"
0072684,"['United Kingdom', 'United States']"
0046268,"['France', 'Italy']"
2119532,"['Australia', 'United States', 'United Kingdom', 'China']"
0015324,['United States']
0031679,['United States']
0353969,['South Korea']
3011894,"['Argentina', 'Spain', 'France', 'United Kingdom']"
0050976,['Sweden']
1392190,['Australia']
3170832,"['Ireland', 'Canada', 'United Kingdom', 'United States']"
0978762,['Australia']
0892769,['United States']
0198781,['United States']
0118715,"['United States', 'United Kingdom']"
0073195,['United States']
0097165,['United States']
0019254,['France']
0046438,['Japan']
0395169,"['United Kingdom', 'South Africa', 'Italy', 'United States']"
1950186,['United States']
0075148,['United States']
0091763,"['United States', 'United Kingdom']"
1895587,['United States']
0088247,"['United Kingdom', 'United States']"
0092005,['United States']
3315342,['United States']
0382932,['United States']
1979320,"['United Kingdom', 'United States']"
0048473,['India']
0074958,['United States']
0758758,['United States']
0032138,['United States']
0381681,"['United States', 'France']"
0107048,['United States']
0070047,['United States']
0036868,['United States']
0317705,['United States']
0035446,['United States']
0058946,"['Italy', 'Algeria']"
1028532,"['United Kingdom', 'United States']"
0113247,"['France', 'United States']"
0325980,['United States']
15097216,['India']
0032551,['United States']
0032976,['United States']
0245712,['Mexico']
0476735,['Turkey']
0061512,['United States']
0053198,['France']
4016934,['South Korea']
0060827,['Sweden']
0025316,['United States']
