imdbID,ttrt fltr imdb users votes,ttrt fltr aged under 18 votes,ttrt fltr aged 18 29 votes,ttrt fltr aged 30 44 votes,ttrt fltr aged 45 plus votes,ttrt fltr males votes,ttrt fltr males aged under 18 votes,ttrt fltr males aged 18 29 votes,ttrt fltr males aged 30 44 votes,ttrt fltr males aged 45 plus votes,ttrt fltr females votes,ttrt fltr females aged under 18 votes,ttrt fltr females aged 18 29 votes,ttrt fltr females aged 30 44 votes,ttrt fltr females aged 45 plus votes,ttrt fltr top 1000 voters votes,ttrt fltr us users votes,ttrt fltr non us users votes,ttrt fltr imdb users rating,ttrt fltr aged under 18 rating,ttrt fltr aged 18 29 rating,ttrt fltr aged 30 44 rating,ttrt fltr aged 45 plus rating,ttrt fltr males rating,ttrt fltr males aged under 18 rating,ttrt fltr males aged 18 29 rating,ttrt fltr males aged 30 44 rating,ttrt fltr males aged 45 plus rating,ttrt fltr females rating,ttrt fltr females aged under 18 rating,ttrt fltr females aged 18 29 rating,ttrt fltr females aged 30 44 rating,ttrt fltr females aged 45 plus rating,ttrt fltr top 1000 voters rating,ttrt fltr us users rating,ttrt fltr non us users rating,10,9,8,7,6,5,4,3,2,1
0111161,2671289,1200,353241,1025801,275665,1476072,864,277029,848900,223051,295094,238,63558,160578,46297,898,567052,1676257,9.3,9.3,9.3,9.3,9.1,9.3,9.4,9.4,9.3,9.1,9.2,9.0,9.3,9.2,9.2,8.9,9.3,9.3,1470718,685049,312384,99214,29863,15472,7410,5492,5047,40640
0068646,1851333,817,224781,729435,214489,1073657,581,184846,626948,178750,166554,169,32037,91157,30902,894,418276,1164242,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.3,9.2,9.2,8.9,8.8,8.9,8.9,9.0,9.1,9.2,9.2,956744,459697,228307,89966,33987,18799,9616,7086,6625,40506
0468569,2644083,1410,371496,1064165,204012,1491723,1045,298096,889271,171712,267366,237,60215,158538,27865,931,622099,1649885,9.0,9.2,9.2,9.0,8.4,9.0,9.3,9.3,9.1,8.5,8.7,8.5,8.9,8.7,8.3,8.6,9.1,9.0,1198750,744760,400506,152935,54254,25542,12484,8849,8147,37856
0071562,1267672,492,148036,509335,159201,760387,326,125339,443502,134031,105741,127,18155,58157,21826,859,282748,807385,9.0,9.1,9.1,9.0,9.0,9.0,9.2,9.1,9.0,9.0,8.7,8.5,8.8,8.7,8.8,8.8,9.1,9.0,546145,363794,196485,78983,29408,14336,6930,4891,4370,22330
0050083,788999,413,111275,301619,88847,453931,319,90634,256566,74218,76906,65,17453,41159,12952,798,187879,510042,9.0,9.4,9.1,9.0,8.8,9.0,9.5,9.2,9.0,8.8,8.9,8.8,9.0,8.9,8.8,8.8,8.9,9.0,288872,255147,150045,53916,17420,7126,3265,2017,1714,9477
0108052,1352370,450,157947,544542,175875,758913,308,120465,440775,141861,171138,115,32668,95451,30244,854,291944,867261,9.0,9.2,9.1,9.0,8.8,9.0,9.3,9.1,9.0,8.8,9.0,9.2,9.0,9.0,8.9,8.8,9.0,8.9,508684,427111,244348,90364,29747,14372,6864,5031,4736,21113
0167260,1841037,668,243403,752842,189597,1041654,488,190378,612780,155286,221011,123,45703,128385,30323,907,396912,1173362,9.0,9.2,9.2,8.9,8.7,9.0,9.2,9.2,8.9,8.7,8.9,8.9,9.0,8.9,8.8,8.6,9.0,9.0,796239,483970,299202,128928,49077,24037,11785,8663,7083,32053
0110912,2046348,759,258071,805638,234176,1156139,541,199767,671461,194082,222457,154,48793,121545,35034,909,464760,1283903,8.9,9.0,8.9,8.9,8.8,8.9,9.1,9.0,9.0,8.8,8.5,8.7,8.6,8.5,8.4,8.7,8.9,8.9,743282,608069,379241,161027,58884,29955,15782,11488,9865,28755
0120737,1870333,682,243949,746186,206415,1038708,501,188041,601043,167973,232691,117,48419,133232,33905,923,406990,1184653,8.8,8.9,9.0,8.8,8.7,8.8,8.9,9.0,8.8,8.7,8.8,8.6,8.9,8.8,8.8,8.6,8.9,8.8,716172,516697,354175,147924,51889,25046,12066,9047,7533,29784
0060196,760973,271,86108,318207,114722,496001,207,75569,287960,100989,49565,49,8570,26420,11605,816,168982,492506,8.8,9.0,8.9,8.9,8.7,8.9,9.1,8.9,8.9,8.7,8.4,8.4,8.5,8.4,8.2,8.7,8.8,8.8,269662,219324,154644,66082,21072,9625,4377,2764,2258,11165
0109830,2071421,997,286264,774079,205496,1074770,678,208358,607951,162996,281111,230,66843,152505,37664,927,466049,1312221,8.8,8.9,8.9,8.9,8.5,8.8,9.0,8.9,8.9,8.5,8.7,8.4,8.8,8.7,8.6,8.3,8.8,8.8,709558,631960,429450,173267,58305,25748,13094,8455,6627,14957
0137523,2116821,919,287684,850858,191668,1164513,659,219721,691381,157857,252339,173,57703,145792,29546,895,451898,1362287,8.8,9.0,8.9,8.9,8.3,8.8,9.0,8.9,8.9,8.3,8.7,8.7,8.8,8.7,8.2,8.3,8.7,8.8,718128,652479,429730,176162,60512,27928,14197,9657,7716,20312
0167261,1662401,596,220171,674933,176689,935719,450,171612,546064,144045,204325,97,42041,118390,28978,905,358391,1064363,8.8,8.8,8.9,8.7,8.6,8.8,8.9,9.0,8.8,8.5,8.7,8.5,8.8,8.7,8.7,8.5,8.8,8.8,585822,468340,344912,143769,49128,22863,10498,7393,6322,23354
1375666,2343555,1042,357255,921292,185066,1273980,752,268620,738432,151987,296304,202,75876,166659,28625,909,471708,1545789,8.8,9.0,9.0,8.8,8.2,8.8,9.1,9.0,8.8,8.2,8.7,8.9,8.8,8.7,8.2,8.3,8.7,8.8,810092,713704,469851,198553,68424,29874,14870,9569,7742,20876
0080684,1289674,676,151498,494480,176863,757294,505,125117,424253,150518,116157,124,21869,63055,23005,903,346926,761781,8.7,8.8,8.7,8.7,8.8,8.8,9.0,8.7,8.7,8.8,8.5,8.2,8.5,8.4,8.6,8.6,9.0,8.6,439026,352907,279319,124592,41067,17680,7527,5164,4287,18105
0133093,1908120,819,220597,770776,221263,1088075,610,175674,642411,183572,201740,143,37735,115913,32869,917,426629,1211296,8.7,8.6,8.5,8.8,8.6,8.8,8.7,8.6,8.9,8.7,8.4,8.4,8.2,8.4,8.5,8.4,8.7,8.7,579704,571072,428906,188412,64019,28163,13798,9363,7123,17560
0099685,1158168,408,133828,467676,150370,702318,318,113783,411060,127260,91797,62,15592,49874,20043,868,298387,717121,8.7,9.0,8.7,8.7,8.6,8.7,9.0,8.7,8.7,8.7,8.4,8.8,8.4,8.3,8.4,8.5,8.9,8.6,329200,364647,284852,113241,33401,12672,5705,3576,2625,8249
0073486,1006765,264,121431,421209,141176,590090,202,93162,344596,115407,126641,45,24869,70924,22956,854,233823,638897,8.7,8.9,8.7,8.7,8.7,8.7,8.9,8.7,8.7,8.7,8.6,8.7,8.6,8.6,8.7,8.7,8.7,8.7,275627,321409,249510,100575,29857,11523,5153,2851,2138,8122
